Date,Balance
1672845008693,4862.5244
1672845008923,4862.5244
1672845009244,4862.5244
1672845010815,4862.5244
1672845010836,4862.428
1672845012480,4862.428
1672845013170,4862.428
1672845014413,4862.428
1672845015056,4862.428
1672845039847,4862.428
1672845039883,4862.2915
1672845051001,4862.2915
1672845051036,4862.1226
1672845052603,4862.1226
1672845053198,4862.1226
1672845053674,4862.1226
1672845054570,4862.1226
1672845082132,4862.1226
1672845082879,4862.1226
1672845266819,4862.1226
1672845266850,4861.9526
1672845266900,4861.9526
1672845266928,4861.752
1672845269132,4861.752
1672845269827,4861.752
1672845277088,4861.752
1672845277806,4861.752
1672845303351,4861.752
1672845308204,4861.752
1672845308236,4861.655
1672845308906,4861.655
1672845308938,4861.5913
1672845313509,4861.5913
1672845314291,4861.5913
1672845316273,4861.5913
1672845316827,4861.5913
1672845371465,4861.5913
1672845371493,4861.5415
1672845377958,4861.5415
1672845378500,4861.5415
1672845414612,4861.5415
1672845414640,4861.3955
1672845427547,4861.3955
1672845428289,4861.3955
1672845548292,4862.1387
1672845765017,4862.1387
1672845883722,4862.8364
1672845883737,4871.9097
1672845980005,4871.9097
1672845980034,4871.862
1672845989887,4871.862
1672845990446,4871.862
1672846223649,4876.0044
1672846447681,4876.025
1672846447842,4876.967
1672846639724,4878.4146
1672847058036,4882.107
1672847108179,4883.2275
1672847145224,4884.5503
1672847167641,4887.4014
1672847186448,4889.567
1672847212794,4891.834
1672847881956,4894.1675
1672847937964,4896.354
1672847953909,4896.303
1672847969817,4896.303
1672848000156,4896.2974
1672848000176,4896.3164
1672848000362,4896.302
1672848000388,4896.296
1672848000528,4896.2646
1672848000553,4896.268
1672848000566,4896.2417
1672848000579,4896.212
1672848000627,4896.203
1672848000653,4896.202
1672848000724,4896.1377
1672848000734,4896.1846
1672848000744,4896.171
1672848000782,4896.151
1672848001449,4896.1094
1672848001470,4896.058
1672848001487,4896.1187
1672848001503,4896.109
1672848001532,4896.045
1672848001543,4896.0312
1672848001552,4896.001
1672848001589,4895.9556
1672848001635,4895.8926
1672848001645,4895.8745
1672848001656,4895.8457
1672848001724,4899.855
1672848001771,4899.8403
1672848001874,4899.806
1672848002527,4899.764
1672848002594,4899.7524
1672848003046,4899.7183
1672848003070,4899.693
1672848003083,4899.6494
1672848003097,4899.6445
1672848003130,4899.6143
1672848003142,4899.7524
1672848003154,4899.744
1672848003202,4899.714
1672848003214,4899.622
1672848003226,4899.595
1672848003275,4899.6455
1672848003287,4899.621
1672848003298,4899.6797
1672848003347,4899.7075
1672848003358,4899.695
1672848003369,4899.7124
1672848003424,4899.571
1672848003435,4899.5586
1672848003467,4900.2783
1672848003478,4900.327
1672848003489,4900.3022
1672848003525,4900.245
1672848003538,4900.292
1672848003553,4900.343
1672848003588,4900.4287
1672848003604,4900.392
1672848003636,4901.0913
1672848003651,4901.065
1672848003684,4901.0405
1672848003695,4901.0117
1672848003705,4901.0293
1672848003746,4900.9883
1672848003758,4900.951
1672848164617,4902.6025
1672848164638,4903.1245
1672848165745,4904.537
1672848165767,4905.0015
1672848180721,4904.9517
1672848184666,4904.9097
1672848192421,4904.9097
1672848195405,4904.9097
1672848590976,4909.1187
1672848605871,4909.019
1672848617876,4910.256
1672848625442,4910.256
1672848633582,4910.2065
1672848648495,4910.9453
1672848648766,4910.9453
1672848649825,4912.587
1672848654168,4912.5356
1672848665020,4912.5356
1672848688988,4912.537
1672848689008,4914.0566
1672848703917,4913.9546
1672848724068,4913.9546
1672848771298,4915.73
1672848784082,4918.3423
1672848785961,4918.3003
1672848795101,4918.3003
1672848800511,4918.1963
1672848811894,4918.1963
1672848838232,4918.2007
1672848843058,4918.716
1672848854475,4918.716
1672848855208,4923.892
1672848859432,4923.8486
1672848870664,4923.746
1672848874497,4923.746
1672848880137,4923.746
1672848898946,4928.7275
1672848922313,4928.622
1672848940468,4928.622
1672849245350,4928.9204
1672849245820,4929.921
1672849260482,4929.816
1672849274650,4929.816
1672849653678,4930.5117
1672849674919,4930.5117
1672849675587,4931.0317
1672849690852,4930.9272
1672849701245,4930.9272
1672849899631,4933.925
1672849915488,4933.8267
1672849928761,4933.8267
1672850177782,4935.088
1672850192789,4934.99
1672850206454,4934.99
1672850208783,4936.235
1672850225239,4936.137
1672850236701,4936.137
1672850421039,4937.2812
1672850437202,4937.2593
1672850448931,4937.2593
1672850484764,4937.469
1672850500888,4937.4473
1672850510920,4937.843
1672850526416,4937.821
1672850535233,4937.821
1672850539614,4938.0234
1672850554266,4938.0015
1672850570721,4938.0015
1672850607744,4939.2417
1672850623402,4939.143
1672850636560,4939.143
1672850636942,4939.341
1672850641399,4940.574
1672850653258,4940.5522
1672850657721,4940.455
1672850666615,4940.455
1672850667870,4940.455
1672850735588,4940.455
1672850735686,4940.455
1672850735725,4940.4126
1672850743288,4940.4126
1672850743849,4940.4126
1672850948860,4941.615
1672850963580,4941.5176
1672850984289,4941.5176
1672851208927,4942.7183
1672851225102,4942.621
1672851242022,4942.621
1672851268752,4943.807
1672851283865,4943.7095
1672851291962,4943.7095
1672851390378,4944.8857
1672851405726,4944.7876
1672851412947,4944.7876
1672851676879,4944.802
1672851678308,4945.359
1672851684035,4945.359
1672851695643,4945.3364
1672851704847,4945.3364
1672851778978,4945.3364
1672851779648,4945.3364
1672851797817,4945.3364
1672851797858,4945.1455
1672851800195,4945.1455
1672851800763,4945.1455
1672852338348,4945.489
1672852353066,4945.4634
1672852364784,4945.4634
1672852780255,4945.5996
1672852794371,4945.5957
1672852803403,4945.5957
1672853260288,4946.545
1672853274531,4946.4697
1672853282661,4946.83
1672853286495,4946.83
1672853298022,4946.988
1672853312548,4946.9434
1672853322624,4946.9434
1672853348504,4948.0576
1672853362796,4947.9536
1672853366605,4949.084
1672853374370,4949.084
1672853381870,4949.058
1672853388700,4949.058
1672853506629,4950.4155
1672853506748,4954.776
1672853507119,4957.9062
1672853507172,4960.751
1672853519108,4960.751
1672853519156,4960.751
1672853530704,4960.688
1672853535054,4960.5576
1672853538899,4960.454
1672853540182,4960.454
1672853541785,4960.454
1672853542627,4960.454
1672853544020,4960.454
1672853554766,4960.454
1672853586319,4964.5728
1672853586509,4968.3564
1672853586643,4969.1743
1672853588547,4969.478
1672853588763,4973.572
1672853591374,4974.364
1672853591397,4975.7573
1672853595395,4975.7573
1672853595448,4975.7573
1672853620132,4975.6543
1672853628645,4975.5483
1672853631550,4975.5483
1672853632086,4977.9844
1672853632724,4977.9844
1672853633934,4977.9585
1672853634720,4977.9585
1672853641587,4977.85
1672853643067,4977.85
1672853646276,4977.796
1672853648800,4977.796
1672853652736,4977.769
1672853656290,4977.769
1672853661975,4977.769
1672853664911,4977.769
1672853804321,4978.0967
1672853815245,4978.633
1672853815646,4978.633
1672853816089,4978.633
1672853822578,4978.6064
1672853831123,4978.5483
1672853832124,4978.5483
1672853833787,4978.5483
1672853834757,4978.5483
1672853847769,4978.5483
1672854171156,4978.5483
1672854231473,4981.551
1672854246885,4981.334
1672854250235,4981.485
1672854256591,4981.485
1672854270926,4981.485
1672854271939,4981.888
1672854286507,4981.822
1672854295788,4981.822
1672854298373,4981.822
1672854298404,4981.778
1672854303844,4981.778
1672854304394,4981.778
1672854764573,4981.778
1672854823507,4981.778
1672854823539,4981.691
1672854835018,4981.691
1672854835516,4981.691
1672854838111,4981.982
1672854862021,4981.9556
1672854873919,4981.9556
1672855821008,4982.253
1672855837006,4982.226
1672855848006,4982.226
1672856376434,4981.8584
1672856392574,4981.8584
1672856409130,4981.523
1672856421181,4981.523
1672856440657,4985.6074
1672856441805,4985.3296
1672856451956,4985.3296
1672856461591,4984.9814
1672856471233,4984.9814
1672856503542,4984.2773
1672856513852,4984.2773
1672856712193,4983.1914
1672856720750,4983.612
1672856723225,4983.612
1672856873311,4983.922
1672856889808,4983.8896
1672856900211,4983.8896
1672856905612,4987.4116
1672856905656,4987.6123
1672856961270,4988.0254
1672856978330,4987.9937
1672856987422,4987.9937
1672857060499,4988.397
1672857068754,5001.6997
1672857075951,5001.67
1672857088511,5001.67
1672857090770,5000.6045
1672857106154,5000.6045
1672857418771,5000.6045
1672857462240,5000.6045
1672857462266,5000.5454
1672857466420,5000.5454
1672857466979,5000.5454
1672857529068,5001.762
1672857546967,5001.63
1672857560359,5001.63
1672857848914,5003.6846
1672857865393,5003.621
1672857875949,5003.621
1672857940188,5003.627
1672857957620,5003.627
1672857958422,5005.8813
1672857973643,5005.7476
1672857988464,5005.7476
1672858194967,5006.024
1672858194984,5006.0317
1672858195014,5006.607
1672858204342,5010.228
1672858222675,5010.093
1672858230575,5010.093
1672858548361,5010.093
1672858817510,5010.093
1672858818179,5010.093
1672858835061,5010.093
1672858835092,5009.3716
1672858843877,5009.3716
1672858844654,5009.3716
1672858937905,5009.3716
1672858941435,5009.3716
1672858942824,5009.352
1672858949477,5009.352
1672858950714,5009.352
1672858951878,5009.352
1672858995554,5009.352
1672858997872,5009.352
1672858997912,5009.352
1672858998702,5009.352
1672858998892,5009.352
1672859002923,5009.352
1672859008018,5009.352
1672859008616,5009.352
1672859008955,5009.352
1672859008982,5009.352
1672859009318,5009.352
1672859009353,5007.27
1672859009571,5007.27
1672859010227,5007.27
1672859011619,5007.27
1672859012310,5007.27
1672859021604,5007.27
1672859021783,5007.27
1672859021986,5007.27
1672859023468,5007.27
1672859047364,5007.27
1672859048017,5007.27
1672859102547,5007.27
1672859102550,5007.27
1672859102577,5007.2183
1672859102595,5007.013
1672859104147,5007.013
1672859104167,5006.9614
1672859105752,5006.9614
1672859105772,5006.7603
1672859108411,5006.7603
